key,English,German,Russian,Chinese,Spanish,French,Portuguese_Brazilian,Polish,Italian,Japanese,Ukrainian
// Every word the mod puts on screen. One column per language, English first: a cell left empty
// falls back to English, and a language without a column falls back to English as a whole, so a
// new language is a new column here and nothing else. $1 and $2 are filled in by the game - a
// count or an item name - and may stand anywhere in the sentence. A row starting with // is a
// comment. Keep commas inside "quotes", and write "" for a quote inside a value.
//
// A row marked BUTTON is a label the player reads on the button itself. Those have to stay
// within about the English row's display width - and a CJK glyph is two columns wide. The
// layout is only ever checked in English, and a longer label widens the button towards the one
// beside it. Everywhere else the words sit in a tooltip or a centre message and may run as
// long as they need.
//
// A language column is headed exactly as Valheim names it, and the header is the one line the
// game splits on plain commas, so a name there may never be quoted.
//
// The chest panel's buttons
omp_take_all,Take all,Alles nehmen,Взять все,全部拿取,Coger todo,Prendre tout,Pegar tudo,Weź wszystko,Prendi tutto,全部取る,Узяти все
omp_take_all_tip,Everything in the chest goes into your inventory.,Alles aus der Truhe kommt in dein Inventar.,Всё из сундука перейдёт в ваш инвентарь.,宝箱内的所有物品都会进入你的物品栏。,Todo lo que hay en el cofre pasa a tu inventario.,Tout ce qui est dans le coffre passe dans votre inventaire.,Tudo o que está no baú vai para o seu inventário.,Wszystko ze skrzyni trafia do twojego ekwipunku.,Tutto ciò che è nello scrigno passa nel tuo inventario.,チェストの中身がすべてインベントリに入る。,Усе зі скрині перейде до ваших речей.
omp_place_all,Place all,Alles verstauen,Убрать все,全部存入,Guardar todo,Tout ranger,Guardar tudo,Schowaj wszystko,Riponi tutto,全部しまう,Прибрати все
omp_place_all_tip,"Everything you carry goes into the chest. Worn gear, favourites and the hotbar stay.","Alles, was du trägst, kommt in die Truhe. Angelegte Ausrüstung, Favoriten und die Schnellleiste bleiben bei dir.","Всё, что вы несёте, отправится в сундук. Надетое снаряжение, избранное и панель останутся при вас.",你携带的所有物品都会存入宝箱。已装备的装备、收藏和快捷栏不受影响。,"Todo lo que llevas pasa al cofre. El equipo puesto, los favoritos y la barra rápida se quedan contigo.","Tout ce que vous portez passe dans le coffre. Les objets équipés, les favoris et les raccourcis restent sur vous.","Tudo o que você carrega vai para o baú. Equipamentos equipados, favoritos e a barra rápida ficam com você.","Wszystko, co niesiesz, trafia do skrzyni. Założone wyposażenie, ulubione i pasek zostają przy tobie.","Tutto ciò che porti passa nello scrigno. L'equipaggiamento indossato, i preferiti e la barra rapida restano con te.",持っているものがすべてチェストに入る。装備中の装備、お気に入り、ホットバーはそのまま。,"Усе, що ви несете, потрапить до скрині. Надіте спорядження, улюблене й панель лишаться при вас."
omp_fill_chest,Fill the chest's stacks,Stapel der Truhe füllen,Пополнить стопки сундука,补满宝箱堆叠,Completar montones del cofre,Compléter les piles du coffre,Completar pilhas do baú,Uzupełnij stosy skrzyni,Completa le pile dello scrigno,チェストのスタックを補充,Поповнити стоси скрині
omp_fill_chest_tip,"What you carry of the items in the chest goes in. Worn gear, favourites and the hotbar stay.","Was du von den Gegenständen der Truhe trägst, kommt hinein. Angelegte Ausrüstung, Favoriten und die Schnellleiste bleiben bei dir.","В сундук уйдёт то, что вы несёте из его предметов. Надетое снаряжение, избранное и панель останутся при вас.",你携带的、宝箱内已有的物品会被存入。已装备的装备、收藏和快捷栏不受影响。,"Lo que lleves de los objetos del cofre entra en él. El equipo puesto, los favoritos y la barra rápida se quedan contigo.","Ce que vous portez des objets du coffre y entre. Les objets équipés, les favoris et les raccourcis restent sur vous.","O que você carrega dos itens do baú entra nele. Equipamentos equipados, favoritos e a barra rápida ficam com você.","To, co niesiesz z przedmiotów w skrzyni, trafia do niej. Założone wyposażenie, ulubione i pasek zostają przy tobie.","Ciò che porti degli oggetti dello scrigno ci entra. L'equipaggiamento indossato, i preferiti e la barra rapida restano con te.",持っているもののうち、チェストにあるアイテムが入る。装備中の装備、お気に入り、ホットバーはそのまま。,"До скрині потрапить те, що ви несете з її предметів. Надіте спорядження, улюблене й панель лишаться при вас."
omp_sort_chest,Sort the chest,Truhe sortieren,Упорядочить сундук,整理宝箱,Ordenar el cofre,Trier le coffre,Organizar o baú,Uporządkuj skrzynię,Ordina lo scrigno,チェストを整理,Упорядкувати скриню
